Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Montbello High/Middle School,2020-12-31,School K-12,,Denver,2020-11-19,,3,2,,,,5,0,,,,,,,
New Dawn Memory Care - Colorado Springs (23Q274): November 2020,2021-01-05,Healthcare - Assisted Living,,El Paso,2020-11-19,7,20,,4,,,27,4,,,,,,,
Orchard Avenue Elementary School: November 2020,2021-03-12,School K-12,,Mesa,2020-11-19,,5,3,,,,8,0,,,,,,,
Owens- Illinois: November 2020,2021-01-05,Non-Food Manufacturer/Warehouse,,Weld,2020-11-19,,32,,,,,32,0,,,,,,,
Rio Blanco County Jail,2020-12-23,Jail,,Rio Blanco,2020-11-19,2,1,,,,,3,0,,,,,,,
Rocky Mountain MS Center,2020-11-26,Healthcare - Outpatient,,Adams,2020-11-19,,4,,,,,4,0,,,,,,,
Salida Vineyard Church,2020-12-23,Religious Facility,,Chaffee,2020-11-19,,,19,,,1,19,1,,,,,,,
Serenity Salon & Spa ,2020-11-28,Personal Services,Spa/Salon,Jefferson,2020-11-19,,3,,,,,3,0,,,,,,,
Spanish Peaks Veterans Community Living Center (0207YZ): November 2020,2021-04-01,Healthcare - Nursing Facility,,Colorado,2020-11-19,33,41,,12,,,74,12,,,,,,,
Springs Ranch Memory Care Community (23Z839): November 2020,2021-01-26,Healthcare - Assisted Living,,El Paso,2020-11-19,31,27,,12,,,58,12,,,,,,,
Steamworks Brewing Company,2020-12-30,Restaurant - Sit Down,,La Plata,2020-11-19,,14,,,,,14,0,,,,,,,
Steele Bros Heating: November 2020,2020-12-09,Construction Company/Contractor,,Douglas,2020-11-19,,2,,,,,2,0,,,,,,,
Summit Family Dentistry,2020-12-11,Healthcare - Dental,Dental Office,Jefferson,2020-11-19,,2,,,,,2,0,,,,,,,
The Crossing - Denver Rescue Mission,2021-01-12,Homeless Shelter,,Denver,2020-11-19,19,1,,,,,20,0,,,,,,,
The Home Depot #1534: November 2020,2020-12-31,Retailer,,La Plata,2020-11-19,,10,,,,,10,0,,,,,,,
Trinidad Correctional Facility: November 2020,2021-02-11,State Prison,,Colorado,2020-11-19,324,43,,,,,367,0,,,,,,,
Welby Community School,2021-01-04,School K-12,,Adams,2020-11-19,,,4,,,,4,0,,,,,,,
Worldmind Nature Immersion School,2021-01-03,Child Care Center,,Denver,2020-11-19,,1,2,,,,3,0,,,,,,,
Avamere Transitional Care and Rehab-Malley (020432): November 2020,2021-03-08,Healthcare - Nursing Facility,,Adams,2020-11-20,74,83,,21,,,157,21,,,,,,,
Brookdale Highlands Ranch (2304DB): November 2020,2021-01-08,Healthcare - Assisted Living,,Douglas,2020-11-20,37,20,,11,,,57,11,,,,,,,
Buckhorn Exchange ,2020-12-07,Restaurant - Sit Down,,Denver,2020-11-20,,6,,,,,6,0,,,,,,,
Buffalo Wild Wings #122: November 2020,2020-12-27,Restaurant - Sit Down,,Larimer,2020-11-20,,4,,,,,4,0,,,,,,,
Colorado State Penitentiary: November 2020,2021-03-25,State Prison,,Colorado,2020-11-20,128,77,,,,,205,0,,,,,,,
CoreCivic- Ulster Facility,2020-11-20,"Correctional, Other",Community correctional facility,Denver,2020-11-20,2,1,,,,,3,0,,,,,,,
Denver Green School Southeast: November 2020,2020-12-17,School K-12,,Denver,2020-11-20,,4,,,,,4,0,,,,,,,
Dunton Hot Springs,2020-12-21,Hotel/Lodge/Resort,,Dolores,2020-11-20,,4,,,,,4,0,,,,,,,
"Encore Electric, Inc.- Lakewood",2020-12-16,Construction Company/Contractor,,Jefferson,2020-11-20,,4,,,,,4,0,,,,,,,
Enstrom's Candies,2021-02-08,Food Manufacturing/Packaging,,Mesa,2020-11-20,,20,,,,,20,0,,,,,,,
Family Support Center- Pueblo,2021-01-06,Healthcare - Facility for Developmentally Disabled,Outpatient Therapy,Pueblo,2020-11-20,,12,,,,,12,0,,,,,,,
Keesee Motor Co: November 2020,2020-12-15,Other,Auto Dealership,Montezuma,2020-11-20,,3,,,,,3,0,,,,,,,
King Soopers #7,2021-01-26,Grocery Store,,Denver,2020-11-20,,6,,,,,6,0,,,,,,,
Lakewood High School: November 2020,2020-12-15,School K-12,,Jefferson,2020-11-20,,,8,,,,8,0,,,,,,,
Life Care Center of Westminster (0204W2): November 2020,2020-12-04,Healthcare - Nursing Facility,,Adams,2020-11-20,6,21,,,,,27,0,,,,,,,
MDM Inc.,2020-12-20,Non-Food Manufacturer/Warehouse,Non-metallic pump manufacturer,El Paso,2020-11-20,,7,,,,,7,0,,,,,,,
Mesa County Work Release/Community Corrections: November 2020,2021-02-09,"Correctional, Other",,Mesa,2020-11-20,28,14,,,,,42,0,,,,,,,
Oceanside Ten Management Market Research,2020-12-07,Office/Indoor Workspace,,Denver,2020-11-20,,3,,,,,3,0,,,,,,,
Outback Steakhouse,2020-12-04,Restaurant - Sit Down,,Jefferson,2020-11-20,,3,,,,,3,0,,,,,,,
Pacific Coast Supply,2020-12-12,Materials Supplier,Building Materials Supplier,El Paso,2020-11-20,,5,,,,,5,0,,,,,,,
Partners in Women's Health,2020-12-29,Healthcare - Outpatient,Women's Health Clinic,Denver,2020-11-20,,3,,,,,3,0,,,,,,,
Perri Powersports,2020-12-21,Retailer,,Mesa,2020-11-20,,5,,,,,5,0,,,,,,,
Porter Adventist Hospital - CT / Radiology Department,2020-12-23,Healthcare - Outpatient,,Denver,2020-11-20,,3,,,,,3,0,,,,,,,
Porter Adventist Hospital - Outpatient Pharmacy,2020-12-16,Healthcare - Outpatient,Pharmacy,Denver,2020-11-20,,2,,,,,2,0,,,,,,,
Prime25,2020-12-04,Restaurant - Sit Down,,El Paso,2020-11-20,,6,,,,,6,0,,,,,,,
"Qualtek Manufacturing, Inc",2021-01-21,Non-Food Manufacturer/Warehouse,Metal Manufacturing,El Paso,2020-11-20,,5,,,,,5,0,,,,,,,
Ralston Elementary School: November 2020,2020-12-15,School K-12,,Jefferson,2020-11-20,,2,1,,,,3,0,,,,,,,
Ralston Valley High School: November 2020,2020-12-15,School K-12,,Jefferson,2020-11-20,,2,,,,,2,0,,,,,,,
"Rampart Supply, Inc.: November 2020",2021-01-21,Materials Supplier,Plumbing supply store,Denver,2020-11-20,,9,,,,,9,0,,,,,,,
Social Gathering- Grand County,2020-12-08,Social Gathering,,Grand,2020-11-20,,,4,,,,4,0,,,,,,,
"Springs Fabrication, LLC: November 2020",2020-12-20,Non-Food Manufacturer/Warehouse,,El Paso,2020-11-20,,4,,,,,4,0,,,,,,,
The Ale House,2020-12-01,Restaurant - Sit Down,,Mesa,2020-11-20,,6,,,,,6,0,,,,,,,
The Coffee Tree,2020-12-12,Restaurant - Other,Coffee Shop,Larimer,2020-11-20,,2,,,,,2,0,,,,,,,
The Home Depot #1529: October 2020,2021-02-10,Retailer,,Larimer,2020-11-20,,15,,,,,15,0,,,,,,,
The Home Depot #1544: November 2020,2021-02-13,Retailer,,Larimer,2020-11-20,,11,,,,,11,0,,,,,,,
The Retreat at Palisade (2311QG): November 2020,2020-12-18,Healthcare - Assisted Living,,Mesa,2020-11-20,14,18,,,,,32,0,,,,,,,
Tire Distributor Xperts (TDX),2020-12-22,Non-Food Manufacturer/Warehouse,Wholesalers,Denver,2020-11-20,,7,,,,,7,0,,,,,,,
Town of Kremmling,2020-12-09,Municipal/Local Government,,Grand,2020-11-20,,3,,,,,3,0,,,,,,,
Trader Joe's #302: November 2020,2020-12-21,Grocery Store,,Denver,2020-11-20,,4,,,,,4,0,,,,,,,
University of Northern Colorado - Delta Zeta Sorority ,2020-12-15,College/University,,Weld,2020-11-20,,,9,,,,9,0,,,,,,,
Walbridge Memorial Convalescent Wing (020867): November 2020,2020-12-18,Healthcare - Nursing Facility,,Rio Blanco,2020-11-20,8,9,,1,,,17,1,,,,,,,
Walmart #2672,2021-02-19,Retailer,,Prowers,2020-11-20,,41,,,,,41,0,,,,,,,
Walmart #3533,2021-01-30,Retailer,,Denver,2020-11-20,,39,,,,,39,0,,,,,,,
Bridge Assisted Living at Life Care Center of Colorado Springs (23052X): November 2020,2020-12-07,Healthcare - Assisted Living,,El Paso,2020-11-21,4,4,,1,,,8,1,,,,,,,
City Market- New Castle #441,2021-01-18,Grocery Store,,Garfield,2020-11-21,,10,,,,,10,0,,,,,,,
Home Team Barbecue,2020-12-17,Restaurant - Sit Down,,Pitkin,2020-11-21,,2,,,,,2,0,,,,,,,
Hope Montessori Academy- Broomfield,2021-01-14,Child Care Center,,Broomfield,2020-11-21,,14,5,,,,19,0,,,,,,,
Mountain Springs Recovery: November 2020,2020-11-29,Healthcare - Alcohol/Drug Abuse Treatment (outpatient),,El Paso,2020-11-21,,3,,,,,3,0,,,,,,,
Social Gathering- Pitkin County: November 2020 #1,2020-12-03,Social Gathering,,Pitkin,2020-11-21,,,4,,,,4,0,,,,,,,
The Manor on Marston Lake - 2 (23N613): November 2020,2021-02-18,Healthcare - Assisted Living,,Jefferson,2020-11-21,3,2,,1,,,5,1,,,,,,,
Trader Joe's #305: November 2020,2021-01-27,Grocery Store,,El Paso,2020-11-21,,18,,,,,18,0,,,,,,,
USA Women's Rugby,2020-12-21,Adult Sports Club/Team,,Colorado,2020-11-21,,,3,,,,3,0,,,,,,,
Wheat Ridge Regional Center - Sunada Learning Center (060408),2021-01-07,Healthcare - Facility for Developmentally Disabled,,Colorado,2020-11-21,,4,,,,,4,0,,,,,,,
Aragon Elementary,2020-12-30,School K-12,,El Paso,2020-11-22,,1,2,,,,3,0,,,,,,,
Comfort Dental - North Academy,2020-12-19,Healthcare - Dental,Dental Office,El Paso,2020-11-22,,7,,,,,7,0,,,,,,,
Evoquoa Water Technologies,2021-01-05,Non-Food Manufacturer/Warehouse,Water Supply Company,El Paso,2020-11-22,,9,,,,,9,0,,,,,,,
Good Samaritan Society- Loveland Village (020366): November 2020,2021-01-25,Healthcare - Nursing Facility,,Larimer,2020-11-22,11,30,,3,,,41,3,,,,,,,
Montrose Police Department,2021-02-09,Law Enforcement - Other,,Montrose,2020-11-22,,18,,,,,18,0,,,,,,,
The Aerospace Corporation,2021-05-01,Office/Indoor Workspace,,El Paso,2020-11-22,,23,2,,,,25,0,,,,,,,
Wheat Ridge Regional Center - House C (060408): November 2020,2020-12-10,Healthcare - Intermediate Care,,Colorado,2020-11-22,6,6,,,,,12,0,,,,,,,
A Child's Place,2020-12-21,Child Care Center,,Jefferson,2020-11-23,,7,,,,,7,0,,,,,,,
A Child's Touch,2020-12-21,Child Care Center,,Adams,2020-11-23,,2,3,,,,5,0,,,,,,,
Accel at Golden Ridge (02V720): November 2020,2020-12-15,Healthcare - Nursing Facility,,Jefferson,2020-11-23,16,27,,,,,43,0,,,,,,,
Alpine Elementary School- Early Education,2020-12-15,Child Care Center,,Boulder,2020-11-23,,1,1,,,,2,0,,,,,,,
American Produce,2021-01-07,Food Warehouse,,Denver,2020-11-23,,22,,,1,,22,1,,,,,,,
Applejack Wine and Spirits: November 2020,2020-12-23,Retailer,,Jefferson,2020-11-23,,6,,,,,6,0,,,,,,,
APS Transportation,2020-12-19,School Administration,,Arapahoe,2020-11-23,,9,,,,,9,0,,,,,,,
Aspen View Academy: November 2020,2021-01-19,School K-12,,Douglas,2020-11-23,,2,2,,,,4,0,,,,,,,
Bonaventure of Colorado Springs (23U243): November 2020,2021-02-01,Healthcare - Assisted Living,,El Paso,2020-11-23,32,14,,4,,,46,4,,,,,,,
Bonaventure of Thornton LLC (23O534): November 2020,2021-01-03,Healthcare - Assisted Living,,Adams,2020-11-23,21,8,,3,,,29,3,,,,,,,
Brookdale Monument Valley Park (2305WD): November 2020,2020-12-24,Healthcare - Assisted Living,,El Paso,2020-11-23,35,16,,,,,51,0,,,,,,,
Brookdale Vista Grande (23053C): November 2020,2021-01-16,Healthcare - Assisted Living,,El Paso,2020-11-23,27,11,,3,,,38,3,,,,,,,
Busy Bee Childcare,2020-12-10,Child Care Center,Home daycare,Arapahoe,2020-11-23,,1,1,,,,2,0,,,,,,,
CCD Roslyn Center,2021-01-28,Law Enforcement - Other,Police and fire training center,Denver,2020-11-23,,13,,,,,13,0,,,,,,,
Colorado School of Mines Athletics - Wrestling Team,2020-12-15,College/University,,Jefferson,2020-11-23,,1,14,,,,15,0,,,,,,,
Community Alternatives of El Paso County: November 2020,2021-01-22,"Correctional, Other",,El Paso,2020-11-23,5,,,,,,5,0,,,,,,,
Core Civic- Fox Facility,2021-02-02,"Correctional, Other",,Denver,2020-11-23,7,2,,,,,9,0,,,,,,,
Costco Wholesale #1014,2021-06-18,Retailer,,El Paso,2020-11-23,,57,,,,,57,0,,,,,,,
Cottonwood Plains Elementary School,2021-01-05,School K-12,,Larimer,2020-11-23,,7,3,,,,10,0,,,,,,,
CPCD Falcon Modular: November 2020,2020-12-14,School K-12,,El Paso,2020-11-23,,2,,,,,2,0,,,,,,,
Deer Trail Elementary School ,2020-12-29,School K-12,,Arapahoe,2020-11-23,,1,5,,,,6,0,,,,,,,
Donald Wescott Fire District Station 2,2020-12-18,Municipal/Local Government,Fire Department,El Paso,2020-11-23,,5,,,,,5,0,,,,,,,
Eastlake High School,2020-12-08,School K-12,,El Paso,2020-11-23,,2,,,,,2,0,,,,,,,
Excalibur Machine & Sheet Metal,2020-11-23,Non-Food Manufacturer/Warehouse,,El Paso,2020-11-23,,4,,,,,4,0,,,,,,,
First Bank - 7590 W Colfax Lakewood,2020-12-17,Office/Indoor Workspace,,Jefferson,2020-11-23,,2,,,,,2,0,,,,,,,
Garden Square of Greeley (2303DK): November 2020,2021-01-01,Healthcare - Assisted Living,,Weld,2020-11-23,18,12,,6,,,30,6,,,,,,,
Grand Mountain K-8 School,2020-12-17,School K-12,,El Paso,2020-11-23,,,2,,,,2,0,,,,,,,
Grand Peak Academy: October 2020,2020-12-12,School K-12,,El Paso,2020-11-23,,6,3,,,,9,0,,,,,,,
High Plains Community Health Center,2021-04-14,Healthcare - Outpatient,Health Center,Prowers,2020-11-23,,40,,,,,40,0,,,,,,,
"Hydrapak, LLC",2021-01-06,Non-Food Manufacturer/Warehouse,Manufacturing company,Boulder,2020-11-23,,3,,,,,3,0,,,,,,,
Jefferson County Sheriff's Office-Dakota Building ,2020-12-29,Law Enforcement Administration,,Jefferson,2020-11-23,,3,,,,,3,0,,,,,,,
JMP Heat Inc: November 2020,2020-12-04,Construction Company/Contractor,,Larimer,2020-11-23,,2,,,,,2,0,,,,,,,
Life Care Center of Stonegate (02C450): November 2020,2020-12-09,Healthcare - Nursing Facility,,Douglas,2020-11-23,6,15,,,,,21,0,,,,,,,
Lighthouse Assisted Living - Emporia House (2304O6): November 2020,2020-12-18,Healthcare - Assisted Living,,Arapahoe,2020-11-23,8,4,,,,,12,0,,,,,,,
"Limagrain Cereal Seeds, LLC",2020-12-04,Agriculture - Other,,Larimer,2020-11-23,,3,,,,,3,0,,,,,,,
Little Sisters of the Poor- Mullen Home (020442): November 2020,2021-02-04,Healthcare - Nursing Facility,,Denver,2020-11-23,2,8,,,,,10,0,,,,,,,
"Monica L. Dobbin, DDS Professional LLC",2020-12-21,Healthcare - Dental,Dental Office ,El Paso,2020-11-23,,4,,,,,4,0,,,,,,,
Morningstar Assisted Living Of Littleton (23N258): November 2020,2021-01-12,Healthcare - Assisted Living,,Jefferson,2020-11-23,39,21,,,,,60,0,,,,,,,
Nordy's BBQ & Grill,2020-12-27,Restaurant - Sit Down,,Larimer,2020-11-23,,4,,,,,4,0,,,,,,,
Parker Core Knowledge Charter School: November 2020,2021-02-05,School K-12,,Douglas,2020-11-23,,,3,,,,3,0,,,,,,,
Phoenix Academy,2020-12-14,School K-12,,El Paso,2020-11-23,,1,2,,,,3,0,,,,,,,
Pikes Peak Center (02B942): November 2020,2021-02-24,Healthcare - Nursing Facility,,El Paso,2020-11-23,28,19,,4,,,47,4,,,,,,,
Platte Valley Youth Services Center: November 2020,2020-12-23,"Correctional, Other",Youth correctional facility,Colorado,2020-11-23,2,7,,,,,9,0,,,,,,,
Pueblo D60 Nutrition Department,2021-01-26,School Administration,School District operational department,Pueblo,2020-11-23,,2,,,,,2,0,,,,,,,
Pueblo D60 Technology Department,2021-01-26,School Administration,School District Operations,Pueblo,2020-11-23,,2,,,,,2,0,,,,,,,
Regis Jesuit High School: November 2020,2021-01-06,School K-12,,Arapahoe,2020-11-23,,3,6,,,,9,0,,,,,,,
"Retina Consultants of Southern Colorado, P.C.",2021-01-04,Healthcare - Outpatient,Eye Care Center,El Paso,2020-11-23,,5,,,,,5,0,,,,,,,
Sage Benefit Advisors,2020-12-16,Office/Indoor Workspace,,Larimer,2020-11-23,,6,,,,,6,0,,,,,,,
Springs Village Care Center (020535): November 2020,2021-01-04,Healthcare - Nursing Facility,,El Paso,2020-11-23,85,66,,19,,,151,19,,,,,,,
Sproul Junior High School: November 2020,2020-12-30,School K-12,,El Paso,2020-11-23,,,2,,,,2,0,,,,,,,
Sunset Academy: November 2020,2020-12-31,Child Care Center,,Boulder,2020-11-23,,6,3,,,,9,0,,,,,,,
Sunset Manor (020186): November 2020,2020-12-31,Healthcare - Nursing Facility,,Morgan,2020-11-23,15,13,,3,,,28,3,,,,,,,
The Goddard School of Longmont: November 2020,2021-01-05,Child Care Center,,Boulder,2020-11-23,,2,6,,,,8,0,,,,,,,
Walmart #1200,2021-02-12,Retailer,,El Paso,2020-11-23,,28,,,,,28,0,,,,,,,
Walmart #3018,2021-01-12,Retailer,,El Paso,2020-11-23,,13,,,,,13,0,,,,,,,
Walmart #3227 ,2021-01-12,Retailer,,El Paso,2020-11-23,,6,,,,,6,0,,,,,,,
Walmart #3582: November 2020,2021-01-12,Retailer,,El Paso,2020-11-23,,14,,,,,14,0,,,,,,,
Ward Intermediate School,2020-12-02,School K-12,,Crowley,2020-11-23,,3,2,,,,5,0,,,,,,,
Widefield School District - S.A. Wilson Office,2020-12-15,School Administration,School District Office Building,El Paso,2020-11-23,,2,,,,,2,0,,,,,,,
American Academy - Castle Pines: November 2020,2021-02-05,School K-12,,Douglas,2020-11-24,,,3,,,,3,0,,,,,,,
Applewood Our House Assisted Living Facility II (23O617): November 2020,2020-12-10,Healthcare - Assisted Living,,Jefferson,2020-11-24,10,2,,4,,,12,4,,,,,,,
Arriola Bible Church,2020-12-13,Religious Facility,,Montezuma,2020-11-24,,,4,,,,4,0,,,,,,,
Ash House (05K174): November 2020,2020-12-23,Healthcare - RCFDD Group home,,Arapahoe,2020-11-24,3,5,,,,,8,0,,,,,,,
Autonation Honda,2021-01-07,Other,Auto Dealership,Adams,2020-11-24,,9,,,,,9,0,,,,,,,
Bent County Healthcare Center (020246): November 2020,2021-02-11,Healthcare - Nursing Facility,,Bent,2020-11-24,45,38,,14,,,83,14,,,,,,,
Black Hills Energy Warehouse,2021-01-05,Non-Food Manufacturer/Warehouse,,Pueblo,2020-11-24,,11,,,,,11,0,,,,,,,
Breckenridge Ticket Scanning,2020-12-15,Outdoor Entertainment/Rec,,Summit,2020-11-24,,2,,,,,2,0,,,,,,,
Cadence Academy - Columbine: November 2020,2020-12-18,Child Care Center,,Jefferson,2020-11-24,,5,,,,,5,0,,,,,,,
Caley Ridge Assisted Living Community (230487): November 2020,2020-12-15,Healthcare - Assisted Living,,Arapahoe,2020-11-24,4,4,,,,,8,0,,,,,,,
Casey's Pond Senior Living LTC (020803): November 2020,2021-01-11,Healthcare - Nursing Facility,,Routt,2020-11-24,28,27,,6,,,55,6,,,,,,,
Castle View High School: November 2020,2020-12-15,School K-12,,Douglas,2020-11-24,,1,3,,,,4,0,,,,,,,
Cesar Chavez Academy (CHPA): November 2020,2021-01-26,School K-12,,Pueblo,2020-11-24,,3,,,,,3,0,,,,,,,
Charter Communications,2022-09-14,Office/Indoor Workspace,,El Paso,2020-11-24,,373,,,,,373,0,,,,,,,
Cherrelyn Healthcare Center (020428): November 2020,2021-02-01,Healthcare - Nursing Facility,,Arapahoe,2020-11-24,14,19,,1,,,33,1,,,,,,,
City Market- Canon City #417,2021-02-10,Grocery Store,,Fremont,2020-11-24,,14,,,,,14,0,,,,,,,
Cold Stone Creamery,2021-02-01,Restaurant - Other,,Pueblo,2020-11-24,,9,,,,,9,0,,,,,,,
Colorado Mental Health Institute in Pueblo (CMHIP): November 2020,2021-02-22,Healthcare - Psychiatric Hospital,,Colorado,2020-11-24,46,167,,,1,,213,1,,,,,,,
Comfort Dental - North Pueblo,2020-12-22,Healthcare - Dental,Dental Office,Pueblo,2020-11-24,,3,,,,,3,0,,,,,,,
"Connolly's Towing, Inc.",2020-12-10,Other,Towing Company,Jefferson,2020-11-24,,10,,,,,10,0,,,,,,,
CoreCivic- Dahlia Facility,2021-01-20,"Correctional, Other",Community correctional facility,Denver,2020-11-24,4,2,,,,,6,0,,,,,,,
Denver Jewish Day School,2020-12-18,School K-12,,Arapahoe,2020-11-24,,2,1,,,,3,0,,,,,,,
Dillon Valley Elementary School: November 2020,2020-12-15,School K-12,,Summit,2020-11-24,,1,1,,,,2,0,,,,,,,
Electro-Mechanical Products Inc.,2021-01-30,Non-Food Manufacturer/Warehouse,,Jefferson,2020-11-24,,11,,,1,,11,1,,,,,,,
Emory Elementary School: November 2020,2020-12-01,School K-12,,Jefferson,2020-11-24,,1,3,,,,4,0,,,,,,,
Erie Middle School: November 2020,2021-01-11,School K-12,,Weld,2020-11-24,,1,8,,,,9,0,,,,,,,
Ersilia Cruz Middle School (CHPA): November 2020,2021-01-19,School K-12,,Pueblo,2020-11-24,,3,,,,,3,0,,,,,,,
Evergreen Natural Resources,2021-03-26,Office/Indoor Workspace,,Las Animas,2020-11-24,,20,,,,,20,0,,,,,,,
Evergreen Nursing Home (021065): November 2020,2021-01-06,Healthcare - Nursing Facility,,Alamosa,2020-11-24,34,27,,10,,,61,10,,,,,,,
Eye Associates of Colorado Springs,2021-02-08,Healthcare - Outpatient,Eye Care Center,El Paso,2020-11-24,,18,,,,,18,0,,,,,,,
First American Title Insurance CO,2020-12-21,Office/Indoor Workspace,,Denver,2020-11-24,,6,,,,,6,0,,,,,,,
First National Bank- Fort Collins,2020-12-13,Office/Indoor Workspace,,Larimer,2020-11-24,,2,,,,,2,0,,,,,,,
Four Corners Health Care Center (021299): November 2020,2021-01-12,Healthcare - Nursing Facility,,La Plata,2020-11-24,94,53,,22,,,147,22,,,,,,,
Frasier Meadows Manor Inc. Assisted Living Center (23J640): November 2020,2021-02-04,Healthcare - Assisted Living,,Boulder,2020-11-24,4,20,,,,,24,0,,,,,,,
Girl Bar,2020-12-22,Bar/Tavern/Brewery,,Grand,2020-11-24,,2,,,,,2,0,,,,,,,
Grower Shipper Potato Company: November 2020,2020-12-21,Food Warehouse,,Rio Grande,2020-11-24,,2,,,,,2,0,,,,,,,
Harvard Square Retirement Community (230428): November 2020,2020-12-31,Healthcare - Assisted Living,,Denver,2020-11-24,7,3,,,,,10,0,,,,,,,
Hellman's Chevrolet Buick,2020-12-22,Other,Auto Dealership,Delta,2020-11-24,,4,,,,,4,0,,,,,,,
Heritage Elementary School: November 2020,2020-12-29,School K-12,,Douglas,2020-11-24,,,3,,,,3,0,,,,,,,
Homeward Pikes Peak,2020-12-14,Healthcare - Outpatient,,El Paso,2020-11-24,,5,,,,,5,0,,,,,,,
Jeffco Public Schools South Transportation,2020-12-22,School Administration,,Jefferson,2020-11-24,,5,,,,,5,0,,,,,,,
Jiffy Lube,2020-12-12,Other,Auto Repair,Montezuma,2020-11-24,,3,,,,,3,0,,,,,,,
JP Morgan Chase Bank- Centennial,2020-12-14,Office/Indoor Workspace,,Arapahoe,2020-11-24,,2,,,,,2,0,,,,,,,
JP Morgan Chase Bank- Englewood,2020-12-14,Office/Indoor Workspace,,Arapahoe,2020-11-24,,3,,,,,3,0,,,,,,,
JP Morgan Chase Bank- Lakewood (Colfax Ave.),2020-12-04,Office/Indoor Workspace,,Jefferson,2020-11-24,,2,,,,,2,0,,,,,,,
JP Morgan Chase Bank- Westminster,2020-11-02,Office/Indoor Workspace,,Adams,2020-11-24,,2,,,,,2,0,,,,,,,
Keystone Mountain House Cafeteria: November 2020,2020-12-11,Restaurant - Other,,Summit,2020-11-24,,2,,,,,2,0,,,,,,,
Keystone Place at Legacy Ridge Assisted Living (23H523): November 2020,2021-01-14,Healthcare - Assisted Living,,Adams,2020-11-24,4,7,,,,,11,0,,,,,,,
Las Animas County Sheriff Department,2020-12-28,Law Enforcement - Other,,Las Animas,2020-11-24,,6,,,,,6,0,,,,,,,
Laser Graphics,2020-12-10,Office/Indoor Workspace,,Summit,2020-11-24,,2,,,,,2,0,,,,,,,
Latcon Corporation,2021-01-12,Construction Company/Contractor,,Pueblo,2020-11-24,,5,,,,,5,0,,,,,,,
Limon Correctional Facility: November 2020,2021-03-18,State Prison,,Colorado,2020-11-24,749,84,,,,,833,0,,,,,,,
Limon Public  Schools: November 2020,2020-12-07,School K-12,,Lincoln,2020-11-24,,12,7,,,,19,0,,,,,,,
LivWell Enlightened Health Marijuana Dispensary - Cortez,2021-02-02,Retailer,Marijuana Dispensary,Montezuma,2020-11-24,,7,,,,,7,0,,,,,,,
Lowe's #3206: November 2020,2020-12-23,Retailer,,Summit,2020-11-24,,4,,,,,4,0,,,,,,,
Lozano's Welding,2020-12-17,Construction Company/Contractor,,Eagle,2020-11-24,,6,,,,,6,0,,,,,,,
